seqBall,urn_complexity_weighted,col_complexity_weighted,# Urns (k_i),# Colours (c_i),#Ball Draws (n_i),"Composition_i,j"
1,5.0,6.0,2,2,3,"[['7B', '3W'], ['3B', '7W']]"
2,10.0,6.0,2,2,3,"[['7B', '3W'], ['3B', '7W']]"
3,10.0,6.0,2,2,3,"[['7B', '3W'], ['3B', '7W']]"
1,5.0,12.0,2,3,3,"[['7B', '2W', '1P'], ['2B', '1W', '7P']]"
2,10.0,12.0,2,3,3,"[['7B', '2W', '1P'], ['2B', '1W', '7P']]"
3,10.0,12.0,2,3,3,"[['7B', '2W', '1P'], ['2B', '1W', '7P']]"
1,5.0,18.0,2,4,3,"[['4B', '3W', '2P', '1G'], ['1B', '2W', '3P', '4G']]"
2,10.0,18.0,2,4,3,"[['4B', '3W', '2P', '1G'], ['1B', '2W', '3P', '4G']]"
3,10.0,18.0,2,4,3,"[['4B', '3W', '2P', '1G'], ['1B', '2W', '3P', '4G']]"
1,10.0,9.0,3,2,3,"[['7B', '3W'], ['5B', '5W'], ['3B', '7W']]"
2,26.0,9.0,3,2,3,"[['7B', '3W'], ['5B', '5W'], ['3B', '7W']]"
3,26.0,9.0,3,2,3,"[['7B', '3W'], ['5B', '5W'], ['3B', '7W']]"
1,10.0,18.0,3,3,3,"[['7B', '2W', '1P'], ['1B', '7W', '2P'], ['2B', '1W', '7P']]"
2,26.0,18.0,3,3,3,"[['7B', '2W', '1P'], ['1B', '7W', '2P'], ['2B', '1W', '7P']]"
3,26.0,18.0,3,3,3,"[['7B', '2W', '1P'], ['1B', '7W', '2P'], ['2B', '1W', '7P']]"
1,10.0,27.0,3,4,3,"[['4B', '3W', '2P', '1G'], ['3B', '2W', '2P', '3G'], ['1B', '2W', '3P', '4G']]"
2,26.0,27.0,3,4,3,"[['4B', '3W', '2P', '1G'], ['3B', '2W', '2P', '3G'], ['1B', '2W', '3P', '4G']]"
3,26.0,27.0,3,4,3,"[['4B', '3W', '2P', '1G'], ['3B', '2W', '2P', '3G'], ['1B', '2W', '3P', '4G']]"
1,10.0,27.0,3,4,3,"[['4B', '3W', '2P', '1G'], ['3B', '2W', '2P', '3G'], ['1B', '2W', '3P', '4G']]"
2,26.0,27.0,3,4,3,"[['4B', '3W', '2P', '1G'], ['3B', '2W', '2P', '3G'], ['1B', '2W', '3P', '4G']]"
3,26.0,27.0,3,4,3,"[['4B', '3W', '2P', '1G'], ['3B', '2W', '2P', '3G'], ['1B', '2W', '3P', '4G']]"
1,15.0,12.0,4,2,3,"[['7B', '3W'], ['6B', '4W'], ['4B', '6W'], ['3B', '7W']]"
2,48.0,12.0,4,2,3,"[['7B', '3W'], ['6B', '4W'], ['4B', '6W'], ['3B', '7W']]"
3,48.0,12.0,4,2,3,"[['7B', '3W'], ['6B', '4W'], ['4B', '6W'], ['3B', '7W']]"
1,15.0,24.0,4,3,3,"[['7B', '2W', '1P'], ['1B', '7W', '2P'], ['2B', '1W', '7P'], ['3B', '4W', '3P']]"
2,48.0,24.0,4,3,3,"[['7B', '2W', '1P'], ['1B', '7W', '2P'], ['2B', '1W', '7P'], ['3B', '4W', '3P']]"
3,48.0,24.0,4,3,3,"[['7B', '2W', '1P'], ['1B', '7W', '2P'], ['2B', '1W', '7P'], ['3B', '4W', '3P']]"
1,15.0,24.0,4,3,3,"[['7B', '2W', '1P'], ['1B', '7W', '2P'], ['2B', '1W', '7P'], ['3B', '4W', '3P']]"
2,48.0,24.0,4,3,3,"[['7B', '2W', '1P'], ['1B', '7W', '2P'], ['2B', '1W', '7P'], ['3B', '4W', '3P']]"
3,48.0,24.0,4,3,3,"[['7B', '2W', '1P'], ['1B', '7W', '2P'], ['2B', '1W', '7P'], ['3B', '4W', '3P']]"
1,15.0,36.0,4,4,3,"[['4B', '3W', '2P', '1G'], ['3B', '4W', '1P', '2G'], ['2B', '1W', '4P', '3G'], ['1B', '2W', '3P', '4G']]"
2,48.0,36.0,4,4,3,"[['4B', '3W', '2P', '1G'], ['3B', '4W', '1P', '2G'], ['2B', '1W', '4P', '3G'], ['1B', '2W', '3P', '4G']]"
3,48.0,36.0,4,4,3,"[['4B', '3W', '2P', '1G'], ['3B', '4W', '1P', '2G'], ['2B', '1W', '4P', '3G'], ['1B', '2W', '3P', '4G']]"
1,15.0,36.0,4,4,3,"[['4B', '3W', '2P', '1G'], ['3B', '4W', '1P', '2G'], ['2B', '1W', '4P', '3G'], ['1B', '2W', '3P', '4G']]"
2,48.0,36.0,4,4,3,"[['4B', '3W', '2P', '1G'], ['3B', '4W', '1P', '2G'], ['2B', '1W', '4P', '3G'], ['1B', '2W', '3P', '4G']]"
3,48.0,36.0,4,4,3,"[['4B', '3W', '2P', '1G'], ['3B', '4W', '1P', '2G'], ['2B', '1W', '4P', '3G'], ['1B', '2W', '3P', '4G']]"
